吐出パターン番号,注入開始日,平均,標準偏差,最小,最大,サンプル数,範囲_R,ターゲットカラム
1,2026-04-01,0.1679166666666667,0.004148511169990538,0.16,0.17,24,0.010000000000000009,A剤流圧(Mpa)
1,2026-04-02,0.17066805845511482,0.007401546442275525,0.15,0.19,479,0.04000000000000001,A剤流圧(Mpa)
1,2026-04-03,0.16806306306306307,0.0062553334776818655,0.15,0.18,444,0.03,A剤流圧(Mpa)
1,2026-04-06,0.17004555808656038,0.009861956889719069,0.13,0.2,439,0.07,A剤流圧(Mpa)
1,2026-04-07,0.17376569037656905,0.008690069674516843,0.15,0.19,478,0.04000000000000001,A剤流圧(Mpa)
1,2026-04-08,0.16988610478359908,0.008037342247850736,0.15,0.19,439,0.04000000000000001,A剤流圧(Mpa)
1,2026-04-09,0.17166666666666666,0.007701608608634922,0.15,0.19,468,0.04000000000000001,A剤流圧(Mpa)
1,2026-04-10,0.1724869109947644,0.007306099733793764,0.15,0.19,382,0.04000000000000001,A剤流圧(Mpa)
1,2026-04-14,0.19437500000000002,0.009482581654734631,0.17,0.2,32,0.03,A剤流圧(Mpa)
1,2026-04-15,0.1952479338842975,0.008878084765143271,0.16,0.22,484,0.06,A剤流圧(Mpa)
1,2026-04-16,0.1988185654008439,0.009049826441104115,0.16,0.22,474,0.06,A剤流圧(Mpa)
1,2026-04-17,0.197590618336887,0.008083088645606968,0.17,0.22,469,0.04999999999999999,A剤流圧(Mpa)
1,2026-04-20,0.19687378640776698,0.00769895592958236,0.17,0.22,515,0.04999999999999999,A剤流圧(Mpa)
1,2026-04-21,0.20866666666666667,0.007906021501579461,0.18,0.24,645,0.06,A剤流圧(Mpa)
2,2026-04-02,0.17733333333333334,0.010327955589886447,0.15,0.19,15,0.04000000000000001,A剤流圧(Mpa)
2,2026-04-03,0.16736842105263158,0.009334586382051254,0.15,0.18,19,0.03,A剤流圧(Mpa)
2,2026-04-06,0.1630769230769231,0.010315534712764836,0.15,0.19,13,0.04000000000000001,A剤流圧(Mpa)
2,2026-04-07,0.1711764705882353,0.014950900031928038,0.15,0.19,17,0.04000000000000001,A剤流圧(Mpa)
2,2026-04-08,0.17962962962962964,0.010554430889252689,0.16,0.19,27,0.03,A剤流圧(Mpa)
